"","fyear","WC/TA","RE/TA","EBIT/TA","MVE/TL","SA","NewZ","ES"
"162395",1986,0.0349625569324822,0.288543852475198,0.105946138231762,0.344936761872854,1.15721405093722,1.89841251067511,-781.2
"162396",1987,0.0240282842164762,0.306659868997085,0.119177186429783,0.385103084079151,1.27292273931307,2.07937289620876,617
"162397",1988,-0.0546819573787864,0.301177336937487,0.1242804414789,0.396398429956234,1.16808707443895,1.93426781349209,339.6
"162398",1989,-0.00932126637006088,0.267381517449278,0.117573561979811,0.34631884367546,1.00764872708522,1.73617719833822,1199
"162399",1990,-0.0401962271194745,0.299602179264323,0.124747716322316,0.400696123929669,1.03845794883162,1.81720691059007,649.9
"162400",1991,0.0449531560417788,0.308935771314134,0.122124515981273,0.419162943982101,1.04435662126966,1.89165722683845,-292.6
"162401",1992,0.0247193478177861,0.254911413188743,0.122413036007484,0.343413164053733,1.04862728626523,1.80473460282673,463.5
"162402",1993,-0.0595128618312818,0.268204405672873,0.122607125682322,0.364983215390019,1.05546743834842,1.7720882031024,1944.4
"162403",1994,-0.00799451435947079,0.29317925137141,0.129122297515328,0.382255699463088,1.14845111326234,1.95047534230628,1545.8
"162404",1995,0.0124252909720038,0.311497326203209,0.137897137464612,0.403609470721342,1.19617017930167,2.06448739166962,484
"162405",1996,0,0.343342036553525,0.137402088772846,0.370227514114819,1.29100032637076,2.16163287642431,2282
"162406",1997,0.0991990448236406,0.526292224267449,0.14685836525546,0.526851500189897,1.04059499527387,2.23297560530487,5155
"162407",1998,-0.156751985878199,0.518137687555163,0.126743159752868,0.39368964880989,0.986231244483672,1.86987087933157,4257
"162408",1999,0.0219360720186884,0.745085750099709,0.164264144493191,0.644892221180881,1.16044669819384,2.58616502860562,-233
"162409",2000,0.0364796335678063,0.773488194558046,0.175854735808932,0.653651938683499,1.1144555319265,2.61444149732684,2558
"162410",2001,0.0394100023046785,0.455081816086656,0.203180456326342,0.666154673220183,1.24153030652224,2.56382515634547,2062
"162411",2002,0.0153787168782483,0.502343017806935,0.21104200391923,0.6550800253825,1.06977933032291,2.43499196458414,3300
"162412",2003,0.0203340308761401,0.580171358629131,0.196904489280215,0.88262841002007,1.06491096458325,2.55125196395321,3093
"162413",2004,0.0674241612177082,0.637581734376675,0.193268303140744,0.934941924778761,1.04552113481259,2.62496517141848,3706
"162414",2005,0.0330318025656381,0.632363601979387,0.19021653481262,0.815461203936828,1.02631827780755,2.51705789388431,4026
"162415",2006,0.0758436351486803,0.754794520547945,0.217373872368861,1.05534953989837,1.17397260273973,2.98394293104732,4075
"162416",2007,0.0692503176620076,0.786415617419429,0.21000346540372,0.990801425779004,1.13994455354049,2.92202853598786,4147
"162417",2008,0.0560926821136856,0.720786797799633,0.207756848363616,0.506781647689216,1.20161693615603,2.70828739299074,3956
"162418",2009,0.0957388074683798,0.753136920297129,0.201867094960851,0.749977684548782,1.08492270628388,2.73149624887166,1929
"162419",2010,0.0246064003051957,0.49095417663199,0.144733173888163,0.453413886925038,0.848649362463868,1.9205528441441,1277
"162420",2011,-0.00978293680195384,0.467701215663676,0.14235339315606,0.396052555643191,0.912488680332592,1.90842633285808,4180
"162421",2012,0.0218521396607626,0.504716096358423,0.130898469948284,0.426769271999847,0.877461882687103,1.90481411704333,2761
"162422",2013,0.0563256666408529,0.532964196287979,0.129094710756602,0.457326376462167,0.857211079274117,1.94047717878785,5954
"162423",2014,0.0364634302004,0.544937525705938,0.143598689528996,0.329261154434395,0.945737423591315,2.01600312569979,7334
"162424",2015,0.0782723527638624,0.533294099071296,0.145578250821766,0.206863646615889,0.905105717197525,1.95031124149011,4944
"162425",2016,0.0803194431329169,0.520700400652916,0.139351670736149,0.176307007786429,0.84715833209675,1.85110087975939,5734
"162426",2017,0.131885619768433,0.498496315974137,0.135582176332013,0.158217456373596,0.796012731191419,1.79891422827357,4285
